model_id,comment,radio_text,emtion_count,wa01,wa02,wa03,wa04,wa05,wa06,wa07,wa08,wa09,wa10,seq01,seq02,seq03,seq04,seq05,seq06,seq07,seq08,seq09,seq10,frame01,frame02,frame03,frame04,frame05,frame06,frame07,frame08,frame09,frame10
23,jennifer,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
24,ritsuka,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
25,yuri,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
26,gerrard,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
27,davidblack,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
28,sccjy,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
29,scjra,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
30,scvip,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
31,scyuri,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
32,jpngirl01,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
33,chngirl01,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
34,saf,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
35,ma_rifle_red,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
36,ma_rifle_blue,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
37,ma_tanker_red,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,136,121,209,201,183,209,209,209,209
38,ma_tanker_blue,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,136,121,209,201,183,209,209,209,209
39,ma_alicered,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
40,ma_aliceblue,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
41,hunter,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
42,spade,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
43,hero,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
44,heroine,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
45,fernando,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
46,blair,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
47,marineboy,#CSO_EmotionB,6,0,4,2,6,12,8,,,,,1,2,4,3,6,5,,,,,96,134,113,211,201,183,2,2,2,2
48,marinegirl,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
50,natasha2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
51,jennifer2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,221,171,201,86,171,171,171,171
52,pirateboy,#CSO_EmotionD,6,0,4,2,6,14,16,,,,,1,2,4,3,7,8,,,,,139,134,113,151,321,183,151,321,2,2
53,pirategirl,#CSO_EmotionE,6,1,5,3,7,15,17,,,,,1,2,4,3,7,8,,,,,161,171,216,171,201,86,117,211,171,171
58,yuri2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,221,171,201,86,171,171,171,171
59,alice2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,221,171,201,86,171,171,171,171
62,mercenaryct,#CSO_EmotionF,5,0,4,2,6,8,,,,,,1,2,4,3,5,,,,,,96,134,113,211,201,183,2,2,2,2
63,mercenarytr,#CSO_EmotionF,5,0,4,2,6,8,,,,,,1,2,4,3,5,,,,,,96,134,113,211,201,183,2,2,2,2
64,choijiyoon2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
65,pirategirl2,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
66,idolgirl,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
67,boxxergirl,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
68,henry,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
69,gunsmith,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
70,alin,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
71,dominique,#CSO_EmotionC,6,0,4,2,6,25,8,,,,,1,2,4,3,6,5,,,,,96,134,113,211,201,86,2,2,2,2
72,soi,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
73,zim,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
74,vngirl,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
75,vnman,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
76,jinct,#CSO_EmotionC,6,19,21,20,22,24,23,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
77,jintr,#CSO_EmotionC,6,19,21,20,22,24,23,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
78,nojinct,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
79,nojintr,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
81,police,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
82,thief,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
83,victor,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
84,twctclass,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
85,twtrclass,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
86,buffclassA,#CSO_EmotionG,6,1,5,3,7,13,26,,,,,1,2,4,3,6,7,,,,,161,171,216,171,201,86,201,171,201,171
87,buffclassB,#CSO_EmotionG,6,1,5,3,7,13,26,,,,,1,2,4,3,6,7,,,,,161,171,216,171,201,86,201,171,201,171
88,buffclasschoijiyoon,#CSO_EmotionH,5,1,5,3,7,13,,,,,,1,2,4,3,6,,,,,,161,171,216,171,201,86,201,171,201,171
89,buffclassyuri,#CSO_EmotionH,5,1,5,3,7,13,,,,,,1,2,4,3,6,,,,,,161,171,216,171,201,86,201,171,201,171
90,buffclasslycan,#CSO_EmotionG,6,1,5,3,7,13,26,,,,,1,2,4,3,6,7,,,,,161,171,216,171,201,86,201,171,201,171
91,buffclasshunter,#CSO_EmotionG,6,1,5,3,7,13,26,,,,,1,2,4,3,6,7,,,,,161,171,216,171,201,86,201,171,201,171
92,buffclasspirategirl,#CSO_EmotionH,5,1,5,3,7,13,,,,,,1,2,4,3,6,,,,,,161,171,216,171,201,86,201,171,201,171
93,lisa,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
94,mila,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
95,buffclassfernando,#CSO_EmotionI,5,0,4,2,6,14,,,,,,1,2,4,3,7,,,,,,96,134,113,211,201,183,151,2,2,2
96,buffclassblair,#CSO_EmotionH,5,1,5,3,7,13,,,,,,1,2,4,3,6,,,,,,161,171,216,171,201,86,201,171,201,171
97,buffclassphoenix,#CSO_EmotionG,6,1,5,3,7,13,26,,,,,1,2,4,3,6,7,,,,,161,171,216,171,201,86,201,171,201,171
98,19s1marinegirl,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
99,19s1pirategirl,#CSO_EmotionE,6,1,5,3,7,15,17,,,,,1,2,4,3,7,8,,,,,161,171,216,171,201,86,117,211,171,171
100,buffclass19s1tr,#CSO_EmotionJ,4,0,4,32,31,29,,,,,,1,2,4,3,7,,,,,,81,111,146,146,50,183,55,171,171,171
101,buffclass19s1ct,#CSO_EmotionJ,4,1,5,3,7,30,,,,,,1,2,4,3,7,,,,,,61,141,121,161,50,50,55,2,2,2
102,y19s2black,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
103,y19s2gerrard,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
104,buffclass19s2tr,#CSO_EmotionK,4,38,39,41,40,42,,,,,,1,2,4,3,7,,,,,,81,101,121,111,201,171,51,171,171,171
105,buffclass19s2ct,#CSO_EmotionL,4,33,34,36,35,37,,,,,,1,2,4,3,7,,,,,,101,91,101,101,201,183,51,2,2,2
106,y19s3alin,#CSO_EmotionC,6,1,5,3,7,13,9,,,,,1,2,4,3,6,5,,,,,161,171,216,171,201,86,171,171,171,171
107,y19s3dominique,#CSO_EmotionC,6,0,4,2,6,25,8,,,,,1,2,4,3,6,5,,,,,96,134,113,211,201,86,2,2,2,2
108,buffclass19s3tr,#CSO_EmotionM,4,47,48,49,50,42,,,,,,1,2,3,4,7,,,,,,100,140,100,110,201,171,51,171,171,171
109,buffclass19s3ct,#CSO_EmotionN,4,43,44,45,46,42,,,,,,1,2,3,4,7,,,,,,100,130,100,100,201,171,51,171,171,171
110,y19s4henry,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
111,y19s4ritsuka,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
112,buffclass19s4tr,#CSO_EmotionO,4,51,52,54,53,55,,,,,,1,2,4,3,6,,,,,,91,101,91,91,208,30,51,171,171,171
113,buffclass19s4ct,#CSO_EmotionP,4,56,57,59,58,60,,,,,,1,2,4,3,6,,,,,,105,91,101,71,251,71,51,2,2,2
114,y20s1leechang,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
115,y20s1yeongsin,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
116,buffclass20s2tr,#CSO_EmotionQ,4,61,62,63,64,65,,,,,,1,2,3,4,5,,,,,,126,151,151,171,91,2,2,2,2,2
117,buffclass20s2ct,#CSO_EmotionR,4,66,67,68,69,70,,,,,,1,2,3,4,5,,,,,,86,91,156,136,61,183,2,2,2,2
118,buffclass20s3tr,#CSO_EmotionS,4,51,26,35,23,70,,,,,,1,2,3,4,5,,,,,,71,141,131,137,51,183,2,2,2,2
119,buffclass20s3ct,#CSO_EmotionT,4,71,72,73,74,75,,,,,,1,2,3,4,5,,,,,,76,91,101,176,76,2,2,2,2,2
120,buffclass20s4tr,#CSO_EmotionO,4,80,81,82,83,84,,,,,,1,2,3,4,5,,,,,,99,124,129,119,99,0,0,0,0,0
121,buffclass20s4ct,#CSO_EmotionU,4,76,77,78,79,79,,,,,,1,2,3,4,4,,,,,,89,129,89,111,111,0,0,0,0,0
122,buffclass21s1tr,#CSO_EmotionV,4,85,86,87,88,89,,,,,,1,2,3,4,5,,,,,,91,91,91,91,31,0,0,0,0,0
123,buffclass21s1ct,#CSO_EmotionW,4,1,90,7,9,,,,,,,1,2,4,3,5,,,,,,101,124,121,151,91,0,0,0,0,0
124,buffclass21s2tr,#CSO_EmotionK,4,91,92,93,94,95,,,,,,1,2,3,4,5,,,,,,100,115,115,105,60,171,60,171,171,171
125,buffclass21s2ct,#CSO_EmotionK,4,96,97,98,99,100,,,,,,1,2,3,4,5,,,,,,151,183,121,151,51,171,51,171,171,171
126,buffclass21s3tr,#CSO_EmotionX,4,101,102,103,104,105,,,,,,1,2,3,4,5,,,,,,131,111,121,121,61,0,0,0,0,0
127,buffclass21s3ct,#CSO_EmotionY,4,106,107,108,109,110,,,,,,1,2,3,4,5,,,,,,121,131,131,131,46,0,0,0,0,0
128,buffclass21s4tr,#CSO_EmotionZ,4,116,117,118,119,120,,,,,,1,2,3,4,5,,,,,,121,141,121,131,57,0,0,0,0,0
129,buffclass21s4ct,#CSO_EmotionAA,4,111,112,113,114,115,,,,,,1,2,3,4,5,,,,,,121,91,121,121,71,0,0,0,0,0
130,buffclass22s1tr,#CSO_EmotionAB,4,125,126,127,128,129,,,,,,1,2,3,4,5,,,,,,111,76,96,131,112,0,0,0,0,0
131,buffclass22s1ct,#CSO_EmotionAC,4,121,122,123,124,,,,,,,1,2,3,4,5,,,,,,146,146,150,141,60,0,0,0,0,0
132,buffclass22s2tr,#CSO_EmotionAD,4,135,136,137,138,139,,,,,,1,2,3,4,5,,,,,,101,121,91,111,61,0,0,0,0,0
133,buffclass22s2ct,#CSO_EmotionAE,4,130,131,132,133,134,,,,,,1,2,3,4,5,,,,,,91,101,138,126,46,0,0,0,0,0
134,buffclass22s3tr,#CSO_EmotionAF,4,145,146,147,148,149,,,,,,1,2,3,4,5,,,,,,111,111,131,129,51,0,0,0,0,0
135,buffclass22s3ct,#CSO_EmotionAG,4,140,141,142,143,144,,,,,,1,2,3,4,5,,,,,,91,121,121,121,46,0,0,0,0,0
136,buffclass22s4tr,#CSO_EmotionAH,4,150,151,152,153,154,,,,,,1,2,3,4,5,,,,,,131,131,141,151,46,0,0,0,0,0
137,buffclass22s4ct,#CSO_EmotionAI,4,155,156,157,158,159,,,,,,1,2,3,4,5,,,,,,131,131,151,116,61,0,0,0,0,0
138,buffclass23s1tr,#CSO_EmotionAJ,4,160,161,162,163,164,,,,,,1,2,3,4,5,,,,,,151,151,151,151,61,0,0,0,0,0
139,buffclass23s1ct,#CSO_EmotionAK,4,165,166,167,168,169,,,,,,1,2,3,4,5,,,,,,151,151,151,151,61,0,0,0,0,0
