;item shop안에 player model 에니메이션 제어,,,,
;item id,sequence,gait sequence,initial sequence,initial gait sequence
525,4,5,,
530,4,5,,
531,4,5,,
532,0,1,8,9
538,4,5,,
539,2,3,,
6006,6,7,,
6007,0,1,8,9
6008,2,3,,
6009,6,7,,
548,0,1,8,9
553,0,1,8,9
554,4,5,,
561,4,5,,
562,4,5,,
563,6,7,,
564,4,5,,
556,14,15,,
567,2,3,,
568,4,5,,
569,4,5,,
570,0,1,,
571,0,1,,
572,0,1,8,9
577,0,1,8,9
582,4,5,,
583,4,5,,
585,4,5,,
587,4,5,,
588,0,1,8,9
589,4,5,,
590,0,1,8,9
591,4,5,,
595,6,7,,
601,4,5,,
602,6,7,,
608,6,7,,
609,2,3,,
610,4,5,,
679,6,7,,
680,0,1,,
682,6,7,,
683,2,3,,
684,4,5,,
685,0,1,,
686,0,1,8,9
687,0,1,8,9
688,6,7,,
690,4,5,,
691,2,3,,
697,2,3,,
703,6,7,,
706,6,7,,
711,0,1,8,9
713,6,7,,
714,6,7,,
715,4,5,,
716,0,1,,
717,0,1,8,9
718,14,15,,
719,4,5,,
721,6,7,,
722,6,7,,
723,4,5,,
724,0,1,,
725,0,1,8,9
728,2,3,,
733,0,1,8,9
734,0,1,8,9
741,6,7,,
748,2,3,,
749,4,5,,
752,6,7,,
753,4,5,,
761,14,15,,
763,0,1,8,9
764,0,1,8,9
766,6,7,,
767,2,3,,
768,0,1,,
769,4,5,,
770,4,5,,
771,4,5,,
781,4,5,,
782,4,5,,
783,0,1,,
784,2,3,,
787,6,7,,
788,0,1,,
789,4,5,,
792,2,3,,
796,4,5,,
804,0,1,8,9
805,4,5,,
809,2,3,,
810,2,3,,
812,0,1,,
813,6,7,,
814,4,5,,
815,14,15,,
824,0,1,,
825,6,7,,
831,6,7,,
832,14,15,,
833,2,3,,
834,0,1,8,9
840,6,7,,
842,4,5,,
844,14,15,,
846,0,1,8,9
847,6,7,,
848,4,5,,
857,6,7,,
859,4,5,,
873,4,5,,
875,2,3,,
867,4,5,,
868,4,5,,
876,6,7,,
880,4,5,,
891,4,5,,
892,6,7,,
893,6,7,,
918,4,5,,
899,2,3,,
901,6,7,,
902,6,7,,
903,6,7,,
904,6,7,,
905,6,7,,
906,6,7,,
907,6,7,,
908,6,7,,
909,6,7,,
910,6,7,,
920,4,5,,
921,4,5,,
923,4,5,,
924,6,7,,
928,4,5,,
931,4,5,,
934,6,7,,
935,2,3,,
936,2,3,,
945,4,5,,
959,0,1,8,9
954,0,1,,
960,4,5,,
962,2,3,,
312,0,1,8,9
964,4,5,,
968,4,5,,
977,4,5,,
981,6,7,,
983,4,5,,
8033,4,5,,
8046,14,15,,
8045,0,1,8,9
8050,4,5,,
8054,6,7,,
8048,2,3,,
8055,14,15,,
8077,4,5,,
8075,2,3,,
8078,6,7,,
8091,0,1,8,9
8094,2,3,,
8100,4,5,,
8101,2,3,,
8106,0,1,8,9
8113,4,5,,
8110,4,5,,
8111,4,5,,
8117,4,5,,
8118,4,5,,
8119,4,5,,
8132,4,5,,
8143,4,5,,
8149,2,3,,
8150,0,1,,
8151,0,1,8,9
8152,6,7,,
8153,0,1,,
8154,0,1,8,9
8155,0,1,,
8156,6,7,,
8157,0,1,8,9
8158,6,7,,
8159,6,7,,
8160,0,1,,
8161,2,3,,
8162,2,3,,
8165,0,1,,
8171,14,15,,
8172,0,1,8,9
8174,6,7,,
8175,0,1,,
8176,4,5,,
8178,4,5,,
8193,6,7,,
8200,0,1,8,9
8201,2,3,,
8202,0,1,,
8203,6,7,,
8204,0,1,,
8205,2,3,,
8220,2,3,,
8221,4,5,,
8229,4,5,,
8231,0,1,8,9
8232,4,5,,
8233,4,5,,
8234,6,7,,
8235,4,5,,
8247,4,5,,
8249,14,15,,
8258,4,5,,
8282,4,5,,
8262,4,5,,
8263,6,7,,
8264,4,5,,
8265,4,5,,
8266,6,7,,
8295,4,5,,
8314,14,15,,
8314,14,15,,
8315,6,7,,
8316,2,3,,
8317,4,5,,
8318,6,7,,
8319,2,3,,
8320,4,5,,
8322,2,3,,
8323,0,1,,
8327,4,5,,
8330,4,5,,
8331,6,7,,
8350,2,3,,
8356,14,15,,
8358,2,3,,
8359,2,3,,
8360,2,3,,
8361,2,3,,
8382,2,3,,
8385,4,5,,
8393,4,5,,
8394,4,5,,
8395,4,5,,
8396,4,5,,
8414,6,7,,
8425,14,15,,
