아이템 명칭,아이템 아이디,뉴클래식,뉴클래식좀비
PSG-1,563,1,1
빔 소드?,565,0,1
배틀 헌팅대거,566,1,1
배틀 갈릴,567,1,1
배틀 파마스,568,1,1
배틀 QBB95,569,1,1
배틀 글록 18C,570,1,1
배틀 USP45,571,1,1
배틀 MP5,572,1,1
skull6,577,0,1
택티컬 나이프,579,1,1
더블 택티컬 나이프,580,1,1
트리플 택티컬 나이프,581,1,1
UTS-15 핑크 골드,583,1,1
ARX-160,585,1,1
janus5?,587,0,1
GROZA,588,1,1
드릴건?,589,0,1
HK G11 골드 에디션,590,1,1
윈체스터 M1887 크리스마스 에디션,591,1,1
janus7?,595,0,0
janus1?,598,0,1
PKM 골드에디션,602,1,1
M2,608,1,1
MP7A1 포니,610,1,1
적마부,611,1,1
마체테,670,1,1
크로우 바,671,1,1
클로 해머,672,1,1
깨우침의 저팔계 미니건,679,0,1
M60E4 매버릭,682,1,1
SPAS12 매버릭,683,1,1
Balrog7 Blue,688,0,1
아에올리스,691,0,1
갈릴 매버릭?,697,0,1
M1887 매버릭,698,1,1
janus3?,711,0,1
모신나강 스코프,713,1,1
MG42,714,1,1
MP40,715,1,1
마우저C96 쉬넬페우어,716,1,1
플라즈마 수류탄?,720,0,1
M1 개런드,721,1,1
M1918 BAR,722,1,1
Sten Mk2,723,1,1
M1911 A1,724,1,1
K1A 매버릭,725,1,1
크로우 바 매버릭,726,1,1
브릭피스V2?,728,0,1
길보아 카빈,733,1,1
길보아 바이퍼,734,1,1
오즈의 양철로봇 기관총?,741,0,1
오즈의 사자 권총?,742,0,1
오즈의 허수아비 곡괭이?,743,0,1
Skull-7 CSOWC,749,0,1
토마호크 크리스마스 에디션,751,1,0
RPG-7,753,1,1
혼 쿠장,762,1,1
라이트닝 레일?,766,0,1
M950,768,1,1
잭 해머,769,1,1
UZI,770,1,1
FNP-45,775,1,1
Hecate II,781,1,1
Norinco Type 86s,782,1,1
vulcanus7?,787,0,1
코일건?,789,0,0
QBS-09,805,1,1
NEGEV NG7,813,1,1
듀얼 UZI,814,1,0
헤비좀비 나이프?,821,0,1
파이슨,824,1,1
skull2?,828,0,1
Falcon,831,1,1
라이트닝 HMG-1?,832,0,1
CROW-7,842,0,1
HK121,846,1,1
HK121 커스텀?,847,0,1
어택 M950,849,1,1
vulcanus1?,858,0,1
PP-2000,859,1,1
KH-2002,868,1,1
ULTIMAX-100,873,1,1
PP-19 Bizon,880,1,1
파워 FALCON?,892,0,1
VICTORY 한국,901,1,1
VICTORY 중국,902,1,1
VICTORY 대만,903,1,1
VICTORY 일본,904,1,1
VICTORY 인도네시아,905,1,1
VICTORY 미국,906,1,1
VICTORY 캐나다,907,1,1
VICTORY 터키,908,1,1
VICTORY 러시아,909,1,1
VICTORY 독일,910,1,1
crow11?,918,0,1
배틀 ULTIMAX-100,920,1,1
플레임 잭 해머,921,1,0
배틀 FNP-45,922,1,1
배틀 QBS-09,928,1,1
버닝 AUG,945,1,1
Special duck foot gun,954,1,1
Sterling Bayonet,960,1,1
배틀 Hecate II,968,1,1
crow1?,969,0,1
배틀 잭 해머,977,1,1
배틀 PP-19 Bizon,983,1,1
배틀 파이슨,8049,1,1
제이의 단검?,8051,0,0
AK-47 화이트골드,8075,1,1
M4A1 화이트골드,8101,1,1
AKM 10th 에디션,8149,1,0
데저트 이글 50C 10th 에디션,8150,1,0
윈체스터 M1887 10th 에디션,8151,1,0
SL8 10th 에디션,8152,1,0
M4A1 10th 에디션,8153,1,0
톰슨 시카고 10th 에디션,8154,1,0
루거 P08 10th 에디션,8155,1,0
TRG-42 10th 에디션,8156,1,0
MP5 10th 에디션,8157,1,0
MG3 10th 에디션,8158,1,0
WA2000 10th 에디션,8159,1,0
M79 소드오프 10th 에디션,8160,1,0
M14 EBR 10th 에디션,8161,1,0
StG44 10th 에디션,8162,1,0
데저트 이글 50C 화이트골드,8165,1,1
MP5 트랜스기어,8172,1,0
M950 트랜스기어,8173,1,0
M24 트랜스기어,8174,1,0
듀얼 인피니티 파이널 트랜스기어,8175,1,0
USAS12 트랜스기어,8176,1,0
마체테 트랜스기어,8177,1,0
QBZ95B 트랜스기어,8178,1,0
헌팅대거 엘레강트,8199,1,1
윈체스터 M1887 엘레강트,8200,1,0
더블바렐 샷건 엘레강트,8201,1,0
파이슨 엘레강트,8202,1,1
모신나강 엘레강트,8203,1,0
마우저C96 엘레강트,8204,1,1
PP-19 Bizon 스플래쉬,8229,1,0
M79 소드오프 스플래쉬,8230,1,0
GROZA 스플래쉬,8231,1,1
UTS-15 스플래쉬,8232,1,0
RPG-7 스플래쉬,8233,1,0
M200 스플래쉬,8234,1,0
PSG-1 할로윈,8263,1,0
TAR-21 할로윈,8264,1,0
듀얼 크리스 할로윈,8265,1,0
MK48 할로윈,8266,1,0
AutoMag V 할로윈,8267,1,1
해머 할로윈,8268,1,0
화승총,8329,1,0
각궁,8330,1,1
조총,8331,1,1
SCAR OZ-A?,8358,0,1
플라즈마 라이플 MK-1?,8393,0,0
베어 버스터?,8457,0,0
메카 다이노 MK-1?,8579,0,0
